City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,nar'yan-mar,67.6713,53.087,-8.83,86,100,5.81,RU,1970-01-01
303,fale old settlement,-9.3852,-171.2468,28.89,71,96,5.26,TK,1970-01-01
304,pangoa,-12.1167,-73.0,20.7,99,100,0.22,PE,1970-01-01
305,severoural'sk,60.1533,59.952,-7.23,87,100,3.53,RU,1970-01-01
306,kolonia,50.9333,6.95,12.87,81,0,5.14,DE,1970-01-01
307,puerto baquerizo moreno,-0.9,-89.6,23.34,79,100,4.43,EC,1970-01-01
308,kamloops,50.6665,-120.3192,0.32,64,46,1.34,CA,1970-01-01
309,san jose del cabo,23.0589,-109.6977,25.89,81,0,2.57,MX,1970-01-01
310,myeik,12.4333,98.6,29.24,70,73,1.11,MM,1970-01-01
311,acarau,-2.8856,-40.12,26.26,81,93,7.18,BR,1970-01-01
312,modasa,23.4667,73.3,25.39,38,86,3.19,IN,1970-01-01
313,khovd,48.0056,91.6419,4.0,52,100,0.8,MN,1970-01-01
314,silsbee,30.3491,-94.178,24.86,84,91,3.82,US,1970-01-01
315,worland,44.0169,-107.9554,-5.18,86,0,3.09,US,1970-01-01
316,dukhan,25.4297,50.7858,25.67,61,82,2.69,QA,1970-01-01
317,hami,42.8,93.45,13.83,31,39,1.45,CN,1970-01-01
318,castelleone,45.2939,9.7617,15.78,94,100,2.16,IT,1970-01-01
319,praia da vitoria,38.7333,-27.0667,13.75,86,100,1.59,PT,1970-01-01
320,bengkulu,-3.8004,102.2655,27.36,69,96,2.79,ID,1970-01-01
321,tangalle,6.024,80.7911,26.09,74,83,1.43,LK,1970-01-01
322,basoko,1.2391,23.616,22.94,84,100,1.0,CD,1970-01-01
323,cacu,-18.5567,-51.1308,26.81,60,61,1.23,BR,1970-01-01
324,klaksvik,62.2266,-6.589,3.51,69,100,9.49,FO,1970-01-01
325,rocha,-34.4833,-54.3333,16.58,90,100,1.05,UY,1970-01-01
326,porto velho,-8.7619,-63.9039,25.03,88,75,1.54,BR,1970-01-01
327,yanchep,-31.55,115.6833,22.23,41,5,4.2,AU,1970-01-01
328,bubaque,11.2833,-15.8333,28.19,73,78,3.46,GW,1970-01-01
329,port macquarie,-31.4333,152.9167,26.61,52,0,7.08,AU,1970-01-01
330,port saint john's,-31.6229,29.5448,14.3,63,98,1.16,ZA,1970-01-01
331,island harbour,50.724,-1.2758,14.4,82,8,2.24,GB,1970-01-01
332,kodiak,57.79,-152.4072,7.73,100,100,4.12,US,1970-01-01
333,cardenas,23.0375,-81.2047,23.42,86,21,4.05,CU,1970-01-01
334,flying fish cove,-10.4217,105.6791,27.82,78,100,4.63,CX,1970-01-01
335,bishkek,42.87,74.59,13.11,35,100,1.95,KG,1970-01-01
336,sisimiut,66.9395,-53.6735,-2.47,75,100,4.22,GL,1970-01-01
337,sinanpasa,38.7444,30.2428,12.46,77,100,1.01,TR,1970-01-01
338,popondetta,-8.7537,148.2534,23.8,97,100,0.78,PG,1970-01-01
339,sandnessjoen,66.0217,12.6316,-3.71,73,24,3.72,NO,1970-01-01
